time_s,Vibration [a.u.],Tacho_pulse
0.034,0.4507001411,0
0.0342,0.4539949795,0
0.0344,0.4445596812,0
0.0346,0.4488973709,0
0.0348,0.3713379763,0
0.035,0.467638332,0
0.0352,0.4077853749,0
0.0354,0.3802035713,0
0.0356,0.4490207773,0
0.0358,0.472603084,0
0.036,0.4360416867,0
0.0362,0.4191814119,0
0.0364,0.3718574928,0
0.0366,0.520409958,0
0.0368,0.4371412643,0
0.037,0.3527185925,0
0.0372,0.3634333573,0
0.0374,0.3943889361,0
0.0376,0.3249673186,0
0.0378,0.3900981478,0
0.038,0.36112984,0
0.0382,0.4246207119,0
0.0384,0.4100648771,0
0.0386,0.2590620945,0
0.0388,0.3650370677,0
0.039,0.2944411783,0
0.0392,0.3992068331,0
0.0394,0.3571327993,0
0.0396,0.3678333905,0
0.0398,0.2986779395,0
0.04,0.4096990934,0
0.0402,0.4125332887,0
0.0404,0.2841940842,0
0.0406,0.3366350676,0
0.0408,0.2896080119,0
0.041,0.3102924972,0
0.0412,0.2551802594,0
0.0414,0.3749352726,0
0.0416,0.2557975605,0
0.0418,0.2769068555,0
0.042,0.3028640718,0
0.0422,0.2508251528,0
0.0424,0.2609456865,0
0.0426,0.2416307701,0
0.0428,0.2523637867,0
0.043,0.20427443,0
0.0432,0.2268392839,0
0.0434,0.2292154942,0
0.0436,0.2171455762,0
0.0438,0.2256381744,0
0.044,0.2043968366,0
0.0442,0.2388762311,0
0.0444,0.1883256693,0
0.0446,0.1881747831,0
0.0448,0.1593212092,0
0.045,0.1570111577,0
0.0452,0.1195423243,0
0.0454,0.1828183531,0
0.0456,0.1082096605,0
0.0458,0.1158221439,0
0.046,0.1516790986,0
0.0462,0.1449765561,0
0.0464,0.1043494307,0
0.0466,0.03098475379,0
0.0468,0.1199032966,0
0.047,0.1047239033,0
0.0472,0.02904129383,0
0.0474,0.1074866752,0
0.0476,0.03971474155,0
0.0478,0.01374957713,0
0.048,0.05362396091,0
0.0482,0.03361873365,0
0.0484,0.03979651906,0
0.0486,-0.04162709968,0
0.0488,0.08598666332,0
0.049,-0.01972472268,0
0.0492,-0.06632488027,0
0.0494,0.01089694817,0
0.0496,-0.03715904769,0
0.0498,-0.01906842262,0
0.05,-0.05472256801,0
0.0502,-0.05257679694,0
0.0504,-0.04937265161,0
0.0506,-0.09804751006,0
0.0508,-0.04996518235,0
0.051,-0.1047938724,0
0.0512,-0.1296124818,0
0.0514,-0.1005092645,0
0.0516,-0.09448745643,0
0.0518,-0.1300784939,0
0.052,-0.1639648309,0
0.0522,-0.1131388481,0
0.0524,-0.216722349,0
0.0526,-0.1958307556,0
0.0528,-0.1612059031,0
0.053,-0.2253192378,0
0.0532,-0.1777425463,0
0.0534,-0.1889339341,0
0.0536,-0.1585550109,0
0.0538,-0.238746219,0
0.054,-0.2347226408,0
0.0542,-0.2037698849,0
0.0544,-0.3226869598,0
0.0546,-0.1075442495,0
0.0548,-0.2665258092,0
0.055,-0.2746776736,0
0.0552,-0.2178129481,0
0.0554,-0.2604933148,0
0.0556,-0.3365866259,0
0.0558,-0.2467088098,0
0.056,-0.2438140442,0
0.0562,-0.3021372446,0
0.0564,-0.3013810943,0
0.0566,-0.2765236125,0
0.0568,-0.3380294464,0
0.057,-0.2897286641,0
0.0572,-0.3047506864,0
0.0574,-0.3450528321,0
0.0576,-0.378949324,0
0.0578,-0.3373786715,0
0.058,-0.3683429361,0
0.0582,-0.2981269128,0
0.0584,-0.3371663971,0
0.0586,-0.3162859707,0
0.0588,-0.3467211842,0
0.059,-0.3460282958,0
0.0592,-0.3922088151,0
0.0594,-0.3384226528,0
0.0596,-0.2979286743,0
0.0598,-0.3857979647,0
0.06,-0.4011427791,0
0.0602,-0.3876999851,0
0.0604,-0.4045319547,0
0.0606,-0.4171799808,0
0.0608,-0.3873854964,0
0.061,-0.4083014582,0
0.0612,-0.3428272961,0
0.0614,-0.4040646727,0
0.0616,-0.394786968,0
0.0618,-0.3733208203,0
0.062,-0.4270851653,0
0.0622,-0.3612412495,0
0.0624,-0.4476844506,0
0.0626,-0.4583936762,0
0.0628,-0.4444208361,0
0.063,-0.4381019719,0
0.0632,-0.4933505225,0
0.0634,-0.4425353799,0
0.0636,-0.5117219998,0
0.0638,-0.3932929621,0
0.064,-0.4562471795,0
0.0642,-0.4827950325,0
0.0644,-0.497648,0
0.0646,-0.4809854036,0
0.0648,-0.4789285587,0
0.065,-0.5162939119,0
0.0652,-0.5159315477,0
0.0654,-0.4913783218,0
0.0656,-0.50960652,0
0.0658,-0.4562295469,0
0.066,-0.4534517927,0
0.0662,-0.5036463003,0
0.0664,-0.4908218485,0
0.0666,-0.5688160835,0
0.0668,-0.495724222,0
0.067,-0.5284316695,0
0.0672,-0.5139890795,0
0.0674,-0.4757138856,0
0.0676,-0.6375040338,0
0.0678,-0.5425667656,0
0.068,-0.6039015566,0
0.0682,-0.5433815552,0
0.0684,-0.6269381398,0
0.0686,-0.6017639537,0
0.0688,-0.5815894217,0
0.069,-0.5731194656,0
0.0692,-0.6028408339,0
0.0694,-0.6459312711,0
0.0696,-0.6449579942,0
0.0698,-0.5962486091,0
0.07,-0.6408737354,0
0.0702,-0.7172435588,0
0.0704,-0.625592646,0
0.0706,-0.6523465866,0
0.0708,-0.6439242591,0
0.071,-0.7023946197,0
0.0712,-0.6660730015,0
0.0714,-0.7521090283,0
0.0716,-0.6975268726,0
0.0718,-0.7507911192,0
0.072,-0.715234339,0
0.0722,-0.7131929592,0
0.0724,-0.7942403281,0
0.0726,-0.7783969552,0
0.0728,-0.7864945874,0
0.073,-0.7523215199,0
0.0732,-0.7834833931,0
0.0734,-0.8728081308,0
0.0736,-0.8179886928,0
0.0738,-0.8188606404,0
0.074,-0.7761884023,0
0.0742,-0.9408778788,0
0.0744,-0.9078212944,0
0.0746,-0.8457603858,0
0.0748,-0.9660871319,0
0.075,-0.9727007887,0
0.0752,-0.9169135871,0
0.0754,-0.9097586227,0
0.0756,-0.9901506163,0
0.0758,-0.9547034619,0
0.076,-0.9845182621,0
0.0762,-0.9413029274,0
0.0764,-1.014923942,0
0.0766,-0.9880026403,0
0.0768,-1.076410422,0
0.077,-1.060262458,0
0.0772,-1.06920983,0
0.0774,-1.032128544,0
0.0776,-1.066720317,0
0.0778,-1.132031428,0
0.078,-1.086567102,0
0.0782,-1.094716532,0
0.0784,-1.141498336,0
0.0786,-1.158607671,0
0.0788,-1.167083042,0
0.079,-1.237904465,0
0.0792,-1.173056055,0
0.0794,-1.181433831,0
0.0796,-1.235342457,0
0.0798,-1.180604093,0
0.08,-1.274460633,0
0.0802,-1.250497072,0
0.0804,-1.255941832,0
0.0806,-1.165550534,0
0.0808,-1.316729096,0
0.081,-1.237544051,0
0.0812,-1.229212557,0
0.0814,-1.258181592,0
0.0816,-1.231940772,0
0.0818,-1.324759142,0
0.082,-1.380795608,0
0.0822,-1.263332596,0
0.0824,-1.345728575,0
0.0826,-1.314297707,0
0.0828,-1.351184359,0
0.083,-1.264155024,0
0.0832,-1.27327749,0
0.0834,-1.337725173,0
0.0836,-1.273214573,0
0.0838,-1.304315928,0
0.084,-1.313925662,0
0.0842,-1.304596542,0
0.0844,-1.312896529,0
0.0846,-1.277420737,0
0.0848,-1.286173863,0
0.085,-1.308457668,0
0.0852,-1.249436954,0
0.0854,-1.308664606,0
0.0856,-1.266550682,0
0.0858,-1.254262812,0
0.086,-1.204411468,0
0.0862,-1.275485702,0
0.0864,-1.176535159,0
0.0866,-1.229485616,0
0.0868,-1.23384634,0
0.087,-1.241821177,0
0.0872,-1.17958487,0
0.0874,-1.188472988,0
0.0876,-1.22124886,0
0.0878,-1.208175957,0
0.088,-1.17052144,0
0.0882,-1.159868414,0
0.0884,-1.073034707,0
0.0886,-1.0447396,0
0.0888,-1.047434099,0
0.089,-1.049584172,0
0.0892,-1.062064804,0
0.0894,-1.023113752,0
0.0896,-0.9695923536,0
0.0898,-0.8987680659,0
0.09,-0.9258658225,0
0.0902,-0.9513320889,0
0.0904,-0.9156985612,0
0.0906,-0.9130073417,0
0.0908,-0.9008820515,0
0.091,-0.8522441719,0
0.0912,-0.8117600134,0
0.0914,-0.7202949311,0
0.0916,-0.7652475709,0
0.0918,-0.6860997249,0
0.092,-0.642243396,0
0.0922,-0.6818403104,0
0.0924,-0.5922486866,0
0.0926,-0.5990677457,0
0.0928,-0.6150262856,0
0.093,-0.5579517833,0
0.0932,-0.5374720837,0
0.0934,-0.5171232501,0
0.0936,-0.4848583428,0
0.0938,-0.4398721011,0
0.094,-0.3966840531,0
0.0942,-0.4175566991,0
0.0944,-0.3503685699,0
0.0946,-0.3784629658,0
0.0948,-0.2744795661,0
0.095,-0.2271000885,0
0.0952,-0.2124320135,0
0.0954,-0.1743393065,0
0.0956,-0.1288198513,0
0.0958,-0.1455506763,0
0.096,-0.09494674376,0
0.0962,-0.03131941003,0
0.0964,0.02198991153,0
0.0966,0.03139995615,1
0.0968,0.1513994709,1
0.097,0.07928156564,1
0.0972,0.1565177465,1
0.0974,0.2007158187,1
0.0976,0.1781070148,1
0.0978,0.183919885,1
0.098,0.2025662834,1
0.0982,0.2893149662,1
0.0984,0.3599888031,1
0.0986,0.358973338,1
0.0988,0.3873032918,1
0.099,0.3972329134,1
0.0992,0.4665623539,1
0.0994,0.3900925228,1
0.0996,0.5158881794,1
0.0998,0.5384270268,1
0.1,0.5128170885,1
0.1002,0.6845825223,1
0.1004,0.5715688001,1
0.1006,0.6130301573,1
0.1008,0.636701627,1
0.101,0.7572766835,1
0.1012,0.7049667011,1
0.1014,0.7943489974,1
0.1016,0.8176831091,1
0.1018,0.8306001912,1
0.102,0.7933756084,1
0.1022,0.8460792585,1
0.1024,0.9617775105,1
0.1026,0.8669027372,1
0.1028,0.9083239531,1
0.103,0.9575220915,1
0.1032,1.01814595,1
0.1034,1.016967651,1
0.1036,1.057030402,1
0.1038,1.004424449,1
0.104,1.103986852,0
0.1042,1.107340211,0
0.1044,1.038475918,0
0.1046,1.180824002,0
0.1048,1.227175539,0
0.105,1.120267002,0
0.1052,1.168040439,0
0.1054,1.235785554,0
0.1056,1.133980575,0
0.1058,1.126242403,0
0.106,1.165829448,0
0.1062,1.206158142,0
0.1064,1.216100134,0
0.1066,1.2731931,0
0.1068,1.268568167,0
0.107,1.216179707,0
0.1072,1.296185889,0
0.1074,1.355197599,0
0.1076,1.334140612,0
0.1078,1.331212665,0
0.108,1.296977333,0
0.1082,1.339416022,0
0.1084,1.264632159,0
0.1086,1.335839032,0
0.1088,1.304152511,0
0.109,1.354055087,0
0.1092,1.327978101,0
0.1094,1.265614305,0
0.1096,1.313565193,0
0.1098,1.355786192,0
0.11,1.259887969,0
0.1102,1.280092624,0
0.1104,1.268526358,0
0.1106,1.235690397,0
0.1108,1.329652001,0
0.111,1.338782885,0
0.1112,1.312958142,0
0.1114,1.284759735,0
0.1116,1.266579006,0
0.1118,1.271357717,0
0.112,1.225177795,0
0.1122,1.282403322,0
0.1124,1.280247512,0
0.1126,1.267093874,0
0.1128,1.199521853,0
0.113,1.214484461,0
0.1132,1.194944085,0
0.1134,1.263001658,0
0.1136,1.188204075,0
0.1138,1.094983126,0
0.114,1.175166106,0
0.1142,1.223204662,0
0.1144,1.163755408,0
0.1146,1.159726164,0
0.1148,1.113970186,0
0.115,1.02145293,0
0.1152,1.015496735,0
0.1154,1.025503045,0
0.1156,1.05755442,0
0.1158,1.062184501,0
0.116,1.064405178,0
0.1162,1.010158385,0
0.1164,1.04892262,0
0.1166,0.9862612276,0
0.1168,0.9560303568,0
0.117,1.005003133,0
0.1172,0.9210713637,0
0.1174,0.8351966938,0
0.1176,0.8886866663,0
0.1178,0.9216043848,0
0.118,0.7814260806,0
0.1182,0.8771984612,0
0.1184,0.8651198136,0
0.1186,0.8083458871,0
0.1188,0.7931980767,0
0.119,0.8211988818,0
0.1192,0.8051287292,0
0.1194,0.8648517634,0
0.1196,0.8170289137,0
0.1198,0.726526279,0
0.12,0.7434564073,0
0.1202,0.7938945566,0
0.1204,0.8297469125,0
0.1206,0.7577667964,0
0.1208,0.743321285,0
0.121,0.7941022499,0
0.1212,0.7077439183,0
0.1214,0.6854699171,0
0.1216,0.6306964786,0
0.1218,0.6563117394,0
0.122,0.7538039507,0
0.1222,0.5998290226,0
0.1224,0.6474122855,0
0.1226,0.5811221365,0
0.1228,0.6333109917,0
0.123,0.654621588,0
0.1232,0.600540844,0
0.1234,0.6308990508,0
0.1236,0.6221438166,0
0.1238,0.6030413503,0
0.124,0.6458842984,0
0.1242,0.6006834811,0
0.1244,0.5498461582,0
0.1246,0.5275420447,0
0.1248,0.5139055388,0
0.125,0.5599037007,0
0.1252,0.5212753717,0
0.1254,0.6369454205,0
0.1256,0.5952252275,0
0.1258,0.5068835021,0
0.126,0.4964190156,0
0.1262,0.5714875696,0
0.1264,0.4230122499,0
0.1266,0.4749137769,0
0.1268,0.5257911895,0
0.127,0.4462106207,0
0.1272,0.4586958177,0
0.1274,0.4589308801,0
0.1276,0.4947413241,0
0.1278,0.4692592097,0
0.128,0.4753990533,0
0.1282,0.4787840359,0
0.1284,0.4519183638,0
0.1286,0.4909738545,0
0.1288,0.4132965704,0
0.129,0.3809781906,0
0.1292,0.3633717267,0
0.1294,0.3656761743,0
0.1296,0.4046033134,0
0.1298,0.4639616165,0
0.13,0.4258816787,0
0.1302,0.3911389869,0
0.1304,0.3684542281,0
0.1306,0.3862536624,0
0.1308,0.3874074987,0
0.131,0.3770711987,0
0.1312,0.338462053,0
0.1314,0.3727796403,0
0.1316,0.4284970315,0
0.1318,0.2967705989,0
0.132,0.3700101666,0
0.1322,0.290589005,0
0.1324,0.3784950683,0
0.1326,0.3369188039,0
0.1328,0.2789445472,0
0.133,0.3618560307,0
0.1332,0.4258763179,0
0.1334,0.352778566,0
0.1336,0.3900226969,0
0.1338,0.3356993506,0
0.134,0.2471401055,0
0.1342,0.3478187299,0
0.1344,0.3060913846,0
0.1346,0.2588262813,0
0.1348,0.343051033,0
0.135,0.3173377096,0
0.1352,0.2789083836,0
0.1354,0.3285623816,0
0.1356,0.252723373,0
0.1358,0.3069607315,0
0.136,0.2370718611,0
0.1362,0.2893644743,0
0.1364,0.2171414273,0
0.1366,0.3137532743,0
0.1368,0.2572224544,0
0.137,0.2970806233,0
0.1372,0.1994357263,0
0.1374,0.2057116989,0
0.1376,0.2506210615,0
0.1378,0.09942343312,0
0.138,0.1584999873,0
0.1382,0.2343632794,0
0.1384,0.203373792,0
0.1386,0.2155259355,0
0.1388,0.1554671981,0
0.139,0.1817813187,0
0.1392,0.121237324,0
0.1394,0.08673355806,0
0.1396,0.06485753231,0
0.1398,0.1015203971,0
0.14,0.09247851312,0
0.1402,0.08002248391,0
0.1404,-0.04607289901,0
0.1406,0.006543673195,0
0.1408,0.05572450034,0
0.141,0.07899274558,0
0.1412,0.03478993428,0
0.1414,0.01324969962,0
0.1416,-0.05366778288,0
0.1418,0.1098456103,0
0.142,-0.02476796934,0
0.1422,0.07688697499,0
0.1424,0.06224447033,0
0.1426,0.001038943051,0
0.1428,-0.0425514946,0
0.143,-0.02407352226,0
0.1432,-0.08517748546,0
0.1434,-0.03829146304,0
0.1436,-0.05823127052,0
0.1438,-0.0466558543,0
0.144,-0.03945169683,0
0.1442,-0.01763251224,0
0.1444,-0.1118909379,0
0.1446,-0.06396362503,0
0.1448,-0.1466288118,0
0.145,-0.1599230977,0
0.1452,-0.157950633,0
0.1454,-0.1814983039,0
0.1456,-0.1118980919,0
0.1458,-0.1229602008,0
0.146,-0.1176655291,0
0.1462,-0.1781201915,0
0.1464,-0.1745604696,0
0.1466,-0.2169733988,0
0.1468,-0.2480443567,0
0.147,-0.1921600727,0
0.1472,-0.2072027109,0
0.1474,-0.2699739381,0
0.1476,-0.2098921656,0
0.1478,-0.3104406161,0
0.148,-0.2552496125,0
0.1482,-0.2804709432,0
0.1484,-0.2834475816,0
0.1486,-0.312481667,0
0.1488,-0.2377587485,0
0.149,-0.2597841226,0
0.1492,-0.241497618,0
0.1494,-0.2898766112,0
0.1496,-0.353131693,0
0.1498,-0.3223352863,0
0.15,-0.3606563305,0
0.1502,-0.300801398,0
0.1504,-0.2762626271,0
0.1506,-0.3169682578,0
0.1508,-0.3593807368,0
0.151,-0.3553520835,0
0.1512,-0.3374156023,0
0.1514,-0.4083428138,0
0.1516,-0.3493248303,0
0.1518,-0.3520404069,0
0.152,-0.3863583219,0
0.1522,-0.3857813866,0
0.1524,-0.3666471713,0
0.1526,-0.4106299426,0
0.1528,-0.4149379181,0
0.153,-0.355072594,0
0.1532,-0.3814273136,0
0.1534,-0.3272529437,0
0.1536,-0.4379107612,0
0.1538,-0.4735856335,0
0.154,-0.3687230062,0
0.1542,-0.3720161339,0
0.1544,-0.4437665291,0
0.1546,-0.4768893936,0
0.1548,-0.4239665078,0
0.155,-0.4961160535,0
0.1552,-0.4437059751,0
0.1554,-0.5213675054,0
0.1556,-0.4476780761,0
0.1558,-0.5270986289,0
0.156,-0.4559472632,0
0.1562,-0.3900365,0
0.1564,-0.4657517173,0
0.1566,-0.4287144178,0
0.1568,-0.4897094968,0
0.157,-0.5043798322,0
0.1572,-0.5333784152,0
0.1574,-0.4367473065,0
0.1576,-0.4857215213,0
0.1578,-0.4236991333,0
0.158,-0.5410892764,0
0.1582,-0.5083680897,0
0.1584,-0.5019557396,0
0.1586,-0.4544936004,0
0.1588,-0.4441459445,0
0.159,-0.5492023609,0
0.1592,-0.5750241844,0
0.1594,-0.605765848,0
0.1596,-0.4896729996,0
0.1598,-0.55368757,0
0.16,-0.5833935739,0
0.1602,-0.5670240082,0
0.1604,-0.6750237924,0
0.1606,-0.6496663889,0
0.1608,-0.5514180894,0
0.161,-0.5814159018,0
0.1612,-0.5999008355,0
0.1614,-0.6548594223,0
0.1616,-0.600427966,0
0.1618,-0.5621774686,0
0.162,-0.6919180347,0
0.1622,-0.65220819,0
0.1624,-0.6803025343,0
0.1626,-0.6588012086,0
0.1628,-0.6832473635,0
0.163,-0.7004905801,0
0.1632,-0.7409205278,0
0.1634,-0.7175154819,0
0.1636,-0.7529245895,0
0.1638,-0.7458804447,0
0.164,-0.7544409564,0
0.1642,-0.7378013783,0
0.1644,-0.7995278086,0
0.1646,-0.801614486,0
0.1648,-0.7584131095,0
0.165,-0.8228008062,0
0.1652,-0.8374737124,0
0.1654,-0.8054923177,0
0.1656,-0.8423590779,0
0.1658,-0.8629243244,0
0.166,-0.8711843227,0
0.1662,-0.9430620202,0
0.1664,-0.8885992762,0
0.1666,-0.8676245274,0
0.1668,-0.9110767649,0
0.167,-1.010250076,0
0.1672,-0.9503389033,0
0.1674,-1.011605078,0
0.1676,-0.9981601223,0
0.1678,-0.9975671184,0
0.168,-1.064050632,0
0.1682,-0.9764620709,0
0.1684,-1.04610229,0
0.1686,-1.025003113,0
0.1688,-1.044538773,0
0.169,-1.029258119,0
0.1692,-1.048272398,0
0.1694,-1.167636901,0
0.1696,-1.119482117,0
0.1698,-1.218911448,0
0.17,-1.163463371,0
0.1702,-1.128808505,0
0.1704,-1.132362306,0
0.1706,-1.12858507,0
0.1708,-1.206127844,0
0.171,-1.188791027,0
0.1712,-1.207889297,0
0.1714,-1.170908872,0
0.1716,-1.167457659,0
0.1718,-1.25431742,0
0.172,-1.09713031,0
0.1722,-1.256710431,0
0.1724,-1.278811426,0
0.1726,-1.247224159,0
0.1728,-1.247407817,0
0.173,-1.261886001,0
0.1732,-1.315151799,0
0.1734,-1.235088153,0
0.1736,-1.296086612,0
0.1738,-1.240367132,0
0.174,-1.249160404,0
0.1742,-1.358168683,0
0.1744,-1.348117888,0
0.1746,-1.349970082,0
0.1748,-1.300283371,0
0.175,-1.307744397,0
0.1752,-1.298072316,0
0.1754,-1.339501785,0
0.1756,-1.287385644,0
0.1758,-1.244994925,0
0.176,-1.350509832,0
0.1762,-1.300114905,0
0.1764,-1.276741585,0
0.1766,-1.285496591,0
0.1768,-1.28101965,0
0.177,-1.194405259,0
0.1772,-1.205050584,0
0.1774,-1.21282695,0
0.1776,-1.266868885,0
0.1778,-1.135561084,0
0.178,-1.198738512,0
0.1782,-1.223467188,0
0.1784,-1.200201426,0
0.1786,-1.191823648,0
0.1788,-1.072121471,0
0.179,-1.132659391,0
0.1792,-1.121453706,0
0.1794,-1.192411444,0
0.1796,-1.058321958,0
0.1798,-1.110875628,0
0.18,-1.093697505,0
0.1802,-1.003191375,0
0.1804,-1.040665371,0
0.1806,-0.9503827273,0
0.1808,-0.9158910178,0
0.181,-1.008569364,0
0.1812,-0.9179545994,0
0.1814,-0.9502838394,0
0.1816,-0.8639490597,0
0.1818,-0.7984602455,0
0.182,-0.8623306808,0
0.1822,-0.7078914719,0
0.1824,-0.7640333512,0
0.1826,-0.7699493147,0
0.1828,-0.6980475059,0
0.183,-0.6312823405,0
0.1832,-0.6874212004,0
0.1834,-0.6011194693,0
0.1836,-0.6245037816,0
0.1838,-0.4893130747,0
0.184,-0.4987691408,0
0.1842,-0.4890509631,0
0.1844,-0.3973194275,0
0.1846,-0.4566004003,0
0.1848,-0.3867886524,0
0.185,-0.2629007049,0
0.1852,-0.3071266877,0
0.1854,-0.2130541582,0
0.1856,-0.224457701,0
0.1858,-0.225008971,0
0.186,-0.1714445302,0
0.1862,-0.122953698,0
0.1864,-0.1067596817,0
0.1866,-0.08759712996,0
0.1868,-0.05010579462,0
0.187,-0.04237041658,1
0.1872,0.05718094673,1
0.1874,0.104269239,1
0.1876,0.1541784869,1
0.1878,0.08758551863,1
0.188,0.2275189544,1
0.1882,0.2299190369,1
0.1884,0.2085925796,1
0.1886,0.3045708366,1
0.1888,0.3679193527,1
0.189,0.3906403699,1
0.1892,0.4328667398,1
0.1894,0.4754519182,1
0.1896,0.5069095641,1
0.1898,0.5027073552,1
0.19,0.4534855539,1
0.1902,0.5386247752,1
0.1904,0.6150220305,1
0.1906,0.6132879326,1
0.1908,0.6902795448,1
0.191,0.7250320195,1
0.1912,0.7247597333,1
0.1914,0.827168626,1
0.1916,0.7415238469,1
0.1918,0.8457196314,1
0.192,0.8168745997,1
0.1922,0.8312100344,1
0.1924,0.9119639698,1
0.1926,0.8890844683,1
0.1928,0.9726770527,1
0.193,0.9155337428,1
0.1932,0.9867579746,1
0.1934,0.9740221994,1
0.1936,1.020008157,1
0.1938,1.035410205,1
0.194,1.025248107,0
0.1942,1.115929447,0
0.1944,1.058422335,0
0.1946,1.086737008,0
0.1948,1.178507096,0
0.195,1.197865301,0
0.1952,1.20090954,0
0.1954,1.202243014,0
0.1956,1.293372782,0
0.1958,1.166635179,0
0.196,1.197229589,0
0.1962,1.198324107,0
0.1964,1.28430915,0
0.1966,1.269338389,0
0.1968,1.310879282,0
0.197,1.31315085,0
0.1972,1.272239462,0
0.1974,1.254662138,0
0.1976,1.253109745,0
0.1978,1.385848265,0
0.198,1.339880166,0
0.1982,1.327916126,0
0.1984,1.292881127,0
0.1986,1.300000794,0
0.1988,1.294910067,0
0.199,1.295726585,0
0.1992,1.211822695,0
0.1994,1.304093834,0
0.1996,1.28914472,0
0.1998,1.313241009,0
0.2,1.306589408,0
0.2002,1.328254536,0
0.2004,1.288883862,0
