time_s,Vibration [a.u.],RPM [rpm]
0.0148,1.297580066,606.66
0.015,1.247201774,606.75
0.0152,1.258199676,606.84
0.0154,1.360025769,606.93
0.0156,1.298812046,607.02
0.0158,1.296120394,607.11
0.016,1.262785856,607.2
0.0162,1.240211078,607.29
0.0164,1.297000086,607.38
0.0166,1.250278189,607.47
0.0168,1.216837272,607.56
0.017,1.234197513,607.65
0.0172,1.195336106,607.74
0.0174,1.230810595,607.83
0.0176,1.259691229,607.92
0.0178,1.172071377,608.01
0.018,1.253342949,608.1
0.0182,1.159891078,608.19
0.0184,1.18284993,608.28
0.0186,1.13311308,608.37
0.0188,1.147286435,608.46
0.019,1.14744621,608.55
0.0192,1.117318396,608.64
0.0194,1.095542258,608.73
0.0196,1.085305132,608.82
0.0198,1.068162359,608.91
0.02,1.02663357,609
0.0202,1.067200201,609.09
0.0204,1.081915984,609.18
0.0206,1.09023898,609.27
0.0208,1.067716809,609.36
0.021,1.127966315,609.45
0.0212,1.030184259,609.54
0.0214,0.9868851949,609.63
0.0216,1.067656131,609.72
0.0218,0.9385178495,609.81
0.022,1.006737891,609.9
0.0222,0.9173740951,609.99
0.0224,0.9573265676,610.08
0.0226,0.852021513,610.17
0.0228,0.9543483356,610.26
0.023,0.8997035596,610.35
0.0232,0.8550293875,610.44
0.0234,0.9486343998,610.53
0.0236,0.8999409923,610.62
0.0238,0.8590664763,610.71
0.024,0.8154116345,610.8
0.0242,0.8315872138,610.89
0.0244,0.8149629701,610.98
0.0246,0.8388241721,611.07
0.0248,0.8301918428,611.16
0.025,0.7601247816,611.25
0.0252,0.7535642382,611.34
0.0254,0.7431052311,611.43
0.0256,0.6994152236,611.52
0.0258,0.718882383,611.61
0.026,0.7281696075,611.7
0.0262,0.7489929166,611.79
0.0264,0.7638321306,611.88
0.0266,0.6685228535,611.97
0.0268,0.7129171094,612.06
0.027,0.6633063277,612.15
0.0272,0.754487004,612.24
0.0274,0.6601165056,612.33
0.0276,0.6729298441,612.42
0.0278,0.6063728422,612.51
0.028,0.6025630236,612.6
0.0282,0.6344274521,612.69
0.0284,0.6025649088,612.78
0.0286,0.6238247275,612.87
0.0288,0.5391848101,612.96
0.029,0.6203005103,613.05
0.0292,0.5502006457,613.14
0.0294,0.6476320445,613.23
0.0296,0.559945685,613.32
0.0298,0.6083162147,613.41
0.03,0.5017570924,613.5
0.0302,0.5680319172,613.59
0.0304,0.5088542749,613.68
0.0306,0.5185816392,613.77
0.0308,0.5328994275,613.86
0.031,0.5132635511,613.95
0.0312,0.530716045,614.04
0.0314,0.5444150048,614.13
0.0316,0.5351418745,614.22
0.0318,0.500206844,614.31
0.032,0.4439927463,614.4
0.0322,0.4613107399,614.49
0.0324,0.4807698949,614.58
0.0326,0.3989615885,614.67
0.0328,0.5092770532,614.76
0.033,0.4650858388,614.85
0.0332,0.4602079203,614.94
0.0334,0.5038901612,615.03
0.0336,0.4884642205,615.12
0.0338,0.4664718463,615.21
0.034,0.4135467394,615.3
0.0342,0.4620623472,615.39
0.0344,0.4596078953,615.48
0.0346,0.4065478,615.57
0.0348,0.4799044525,615.66
0.035,0.4547686611,615.75
0.0352,0.351989971,615.84
0.0354,0.4320078972,615.93
0.0356,0.3729228111,616.02
0.0358,0.4653626496,616.11
0.036,0.448601679,616.2
0.0362,0.3685914093,616.29
0.0364,0.373751397,616.38
0.0366,0.4096213959,616.47
0.0368,0.3923784868,616.56
0.037,0.4592985026,616.65
0.0372,0.4242578267,616.74
0.0374,0.3796126763,616.83
0.0376,0.4102524012,616.92
0.0378,0.3020617593,617.01
0.038,0.3918872897,617.1
0.0382,0.4102261703,617.19
0.0384,0.3644205901,617.28
0.0386,0.3391049444,617.37
0.0388,0.3860023024,617.46
0.039,0.4374844674,617.55
0.0392,0.3630160705,617.64
0.0394,0.305581458,617.73
0.0396,0.4037293639,617.82
0.0398,0.2661410294,617.91
0.04,0.3566900781,618
0.0402,0.308452168,618.09
0.0404,0.3640088631,618.18
0.0406,0.287743488,618.27
0.0408,0.3694940213,618.36
0.041,0.3232462183,618.45
0.0412,0.2367321133,618.54
0.0414,0.2212969309,618.63
0.0416,0.2819209205,618.72
0.0418,0.3405186733,618.81
0.042,0.2878859559,618.9
0.0422,0.2794124081,618.99
0.0424,0.2610820304,619.08
0.0426,0.2936923707,619.17
0.0428,0.2727952887,619.26
0.043,0.2623099703,619.35
0.0432,0.2049698893,619.44
0.0434,0.2850053435,619.53
0.0436,0.2850178328,619.62
0.0438,0.1713164354,619.71
0.044,0.3081807307,619.8
0.0442,0.2376480384,619.89
0.0444,0.1817332665,619.98
0.0446,0.1174665307,620.07
0.0448,0.2121863193,620.16
0.045,0.2003722063,620.25
0.0452,0.1462967629,620.34
0.0454,0.09044482558,620.43
0.0456,0.1988894515,620.52
0.0458,0.1221236417,620.61
0.046,0.1184395095,620.7
0.0462,0.2426994244,620.79
0.0464,0.2054729086,620.88
0.0466,0.1499048555,620.97
0.0468,0.08486592418,621.06
0.047,0.1203198159,621.15
0.0472,-0.005722248644,621.24
0.0474,0.08093509993,621.33
0.0476,0.03736600229,621.42
0.0478,0.007372896029,621.51
0.048,-0.0135174461,621.6
0.0482,0.06176321482,621.69
0.0484,0.03526357395,621.78
0.0486,0.02899176922,621.87
0.0488,0.04719250088,621.96
0.049,-0.02946172885,622.05
0.0492,-0.05416188611,622.14
0.0494,-0.08491135477,622.23
0.0496,-0.03637474544,622.32
0.0498,-0.001656513709,622.41
0.05,-0.04711517179,622.5
0.0502,-0.02454205491,622.59
0.0504,-0.1064457139,622.68
0.0506,-0.08694624798,622.77
0.0508,-0.1077522334,622.86
0.051,-0.1359329809,622.95
0.0512,-0.02044605451,623.04
0.0514,-0.06950493045,623.13
0.0516,-0.1427611297,623.22
0.0518,-0.1515560086,623.31
0.052,-0.1317519136,623.4
0.0522,-0.1956124269,623.49
0.0524,-0.1288761107,623.58
0.0526,-0.2063657411,623.67
0.0528,-0.1776041378,623.76
0.053,-0.2118697669,623.85
0.0532,-0.1980562485,623.94
0.0534,-0.2399856966,624.03
0.0536,-0.2574174835,624.12
0.0538,-0.24080024,624.21
0.054,-0.2368867742,624.3
0.0542,-0.2288927295,624.39
0.0544,-0.2216250709,624.48
0.0546,-0.1704700971,624.57
0.0548,-0.2060897068,624.66
0.055,-0.2556002396,624.75
0.0552,-0.2232213152,624.84
0.0554,-0.2864559318,624.93
0.0556,-0.2074698257,625.02
0.0558,-0.2498068266,625.11
0.056,-0.332262731,625.2
0.0562,-0.2539239727,625.29
0.0564,-0.2574733858,625.38
0.0566,-0.403386808,625.47
0.0568,-0.3316020345,625.56
0.057,-0.3262171075,625.65
0.0572,-0.3898631169,625.74
0.0574,-0.3607426272,625.83
0.0576,-0.3611995766,625.92
0.0578,-0.3080706061,626.01
0.058,-0.3213075187,626.1
0.0582,-0.2331363687,626.19
0.0584,-0.3587001879,626.28
0.0586,-0.3014401119,626.37
0.0588,-0.3489522026,626.46
0.059,-0.3457073093,626.55
0.0592,-0.4072740511,626.64
0.0594,-0.441580541,626.73
0.0596,-0.4000025343,626.82
0.0598,-0.3429237196,626.91
0.06,-0.3141195735,627
0.0602,-0.357226875,627.09
0.0604,-0.365349507,627.18
0.0606,-0.422671483,627.27
0.0608,-0.3315414883,627.36
0.061,-0.342912504,627.45
0.0612,-0.4216155394,627.54
0.0614,-0.4059275651,627.63
0.0616,-0.4475855241,627.72
0.0618,-0.3527134196,627.81
0.062,-0.3988007644,627.9
0.0622,-0.4225132979,627.99
0.0624,-0.406100682,628.08
0.0626,-0.4084356765,628.17
0.0628,-0.4462300234,628.26
0.063,-0.4831758837,628.35
0.0632,-0.4886476092,628.44
0.0634,-0.5106662491,628.53
0.0636,-0.4265724154,628.62
0.0638,-0.3602368246,628.71
0.064,-0.5209700733,628.8
0.0642,-0.4515852251,628.89
0.0644,-0.4448751175,628.98
0.0646,-0.5049932117,629.07
0.0648,-0.4618283479,629.16
0.065,-0.5183909493,629.25
0.0652,-0.4311236592,629.34
0.0654,-0.5076612838,629.43
0.0656,-0.4847527547,629.52
0.0658,-0.4664284077,629.61
0.066,-0.5161593825,629.7
0.0662,-0.5759363813,629.79
0.0664,-0.5310160577,629.88
0.0666,-0.4848887378,629.97
0.0668,-0.5246022367,630.06
0.067,-0.5180167634,630.15
0.0672,-0.5765918844,630.24
0.0674,-0.5339992145,630.33
0.0676,-0.517143044,630.42
0.0678,-0.551546772,630.51
0.068,-0.4836162104,630.6
0.0682,-0.575381166,630.69
0.0684,-0.6160596118,630.78
0.0686,-0.6466543407,630.87
0.0688,-0.5436185362,630.96
0.069,-0.6000205708,631.05
0.0692,-0.5653677263,631.14
0.0694,-0.5959112768,631.23
0.0696,-0.5578133338,631.32
0.0698,-0.5809844303,631.41
0.07,-0.6557559333,631.5
0.0702,-0.6389355869,631.59
0.0704,-0.6159242746,631.68
0.0706,-0.7184395316,631.77
0.0708,-0.6208250419,631.86
0.071,-0.6404497874,631.95
0.0712,-0.6598822277,632.04
0.0714,-0.7177037179,632.13
0.0716,-0.7082412235,632.22
0.0718,-0.7758654764,632.31
0.072,-0.7398902403,632.4
0.0722,-0.7769139048,632.49
0.0724,-0.7613381634,632.58
0.0726,-0.7961328266,632.67
0.0728,-0.776700632,632.76
0.073,-0.7527348255,632.85
0.0732,-0.8642898441,632.94
0.0734,-0.7870213941,633.03
0.0736,-0.9159655261,633.12
0.0738,-0.9351055428,633.21
0.074,-0.8659153852,633.3
0.0742,-0.8734427396,633.39
0.0744,-0.8686551682,633.48
0.0746,-0.9649906441,633.57
0.0748,-0.9142818657,633.66
0.075,-0.9196613774,633.75
0.0752,-0.8873886756,633.84
0.0754,-0.9546485526,633.93
0.0756,-0.9422437269,634.02
0.0758,-1.015405571,634.11
0.076,-0.9966986582,634.2
0.0762,-1.019874302,634.29
0.0764,-0.9867310295,634.38
0.0766,-1.067165304,634.47
0.0768,-1.073658606,634.56
0.077,-1.029827777,634.65
0.0772,-0.9937641856,634.74
0.0774,-1.062384729,634.83
0.0776,-1.077762427,634.92
0.0778,-1.115806999,635.01
0.078,-1.070308804,635.1
0.0782,-1.103945105,635.19
0.0784,-1.067704798,635.28
0.0786,-1.135072718,635.37
0.0788,-1.197277989,635.46
0.079,-1.192902429,635.55
0.0792,-1.220101958,635.64
0.0794,-1.240849784,635.73
0.0796,-1.150172619,635.82
0.0798,-1.178008467,635.91
0.08,-1.269087731,636
0.0802,-1.157171732,636.09
0.0804,-1.22715064,636.18
0.0806,-1.283326607,636.27
0.0808,-1.237312856,636.36
0.081,-1.262817032,636.45
0.0812,-1.297803678,636.54
0.0814,-1.351007986,636.63
0.0816,-1.277744293,636.72
0.0818,-1.2729698,636.81
0.082,-1.392748359,636.9
0.0822,-1.271809018,636.99
0.0824,-1.273190116,637.08
0.0826,-1.320033536,637.17
0.0828,-1.299545597,637.26
0.083,-1.317475024,637.35
0.0832,-1.341367602,637.44
0.0834,-1.323324825,637.53
0.0836,-1.255290093,637.62
0.0838,-1.367191702,637.71
0.084,-1.298862417,637.8
0.0842,-1.299528498,637.89
0.0844,-1.333091767,637.98
0.0846,-1.319634516,638.07
0.0848,-1.354604302,638.16
0.085,-1.32855747,638.25
0.0852,-1.289089111,638.34
0.0854,-1.271136946,638.43
0.0856,-1.3139631,638.52
0.0858,-1.148895329,638.61
0.086,-1.286377532,638.7
0.0862,-1.250174848,638.79
0.0864,-1.25548166,638.88
0.0866,-1.252523405,638.97
0.0868,-1.174044507,639.06
0.087,-1.234074722,639.15
0.0872,-1.149661054,639.24
0.0874,-1.144757747,639.33
0.0876,-1.218931096,639.42
0.0878,-1.12164073,639.51
0.088,-1.174315795,639.6
0.0882,-1.023369825,639.69
0.0884,-1.132080018,639.78
0.0886,-1.137398182,639.87
0.0888,-1.158619535,639.96
0.089,-1.115620734,640.05
0.0892,-1.068161232,640.14
0.0894,-1.065214193,640.23
0.0896,-1.05412811,640.32
0.0898,-1.011820544,640.41
0.09,-0.9706437005,640.5
0.0902,-0.8821417081,640.59
0.0904,-0.9853513598,640.68
0.0906,-0.9157711856,640.77
0.0908,-0.9077418526,640.86
0.091,-0.9054804036,640.95
0.0912,-0.8702300673,641.04
0.0914,-0.8299603882,641.13
0.0916,-0.7386471322,641.22
0.0918,-0.748150071,641.31
0.092,-0.7344623637,641.4
0.0922,-0.6605409575,641.49
0.0924,-0.6453298624,641.58
0.0926,-0.6365983156,641.67
0.0928,-0.5829534401,641.76
0.093,-0.6016930237,641.85
0.0932,-0.5132919428,641.94
0.0934,-0.4891526909,642.03
0.0936,-0.4933992645,642.12
0.0938,-0.4944195199,642.21
0.094,-0.3532487243,642.3
0.0942,-0.3783933836,642.39
0.0944,-0.2279424638,642.48
0.0946,-0.3437051277,642.57
0.0948,-0.2507976654,642.66
0.095,-0.269412834,642.75
0.0952,-0.2088434849,642.84
0.0954,-0.1524377841,642.93
0.0956,-0.1843898879,643.02
0.0958,-0.1229502611,643.11
0.096,-0.07894712565,643.2
0.0962,-0.04721708764,643.29
0.0964,0.005772523285,643.38
0.0966,0.05662562688,643.47
0.0968,0.08263022758,643.56
0.097,0.09345649077,643.65
0.0972,0.1026364114,643.74
0.0974,0.1048593683,643.83
0.0976,0.1540378703,643.92
0.0978,0.1955984488,644.01
0.098,0.277178963,644.1
0.0982,0.2682794791,644.19
0.0984,0.2658835742,644.28
0.0986,0.3731604882,644.37
0.0988,0.3482590209,644.46
0.099,0.3817683245,644.55
0.0992,0.4350703081,644.64
0.0994,0.4944528787,644.73
0.0996,0.4100659093,644.82
0.0998,0.492443815,644.91
0.1,0.5746542644,645
0.1002,0.5829921654,645.09
0.1004,0.5924835487,645.18
0.1006,0.6344728618,645.27
0.1008,0.7401463119,645.36
0.101,0.6946328406,645.45
0.1012,0.7689966941,645.54
0.1014,0.7992775042,645.63
0.1016,0.7761738623,645.72
0.1018,0.8379509375,645.81
0.102,0.82766926,645.9
0.1022,0.8461468132,645.99
0.1024,0.8498131372,646.08
0.1026,0.9535311633,646.17
0.1028,0.9256637779,646.26
0.103,0.9419262562,646.35
0.1032,0.9406885502,646.44
0.1034,1.079255882,646.53
0.1036,1.05702086,646.62
0.1038,1.041804039,646.71
0.104,1.038406413,646.8
0.1042,1.023387058,646.89
0.1044,1.113931048,646.98
0.1046,1.130764226,647.07
0.1048,1.079143597,647.16
0.105,1.19747211,647.25
0.1052,1.196852581,647.34
0.1054,1.141405701,647.43
0.1056,1.171002323,647.52
0.1058,1.188743991,647.61
0.106,1.224134371,647.7
0.1062,1.223018036,647.79
0.1064,1.173680259,647.88
0.1066,1.307863112,647.97
0.1068,1.270479129,648.06
0.107,1.316453732,648.15
0.1072,1.323683584,648.24
0.1074,1.271918313,648.33
0.1076,1.299936926,648.42
0.1078,1.321034952,648.51
0.108,1.326954753,648.6
0.1082,1.293514016,648.69
0.1084,1.278550053,648.78
0.1086,1.30720991,648.87
0.1088,1.275580737,648.96
0.109,1.2865815,649.05
0.1092,1.228130506,649.14
0.1094,1.312555203,649.23
0.1096,1.267369821,649.32
0.1098,1.284823745,649.41
0.11,1.302949311,649.5
0.1102,1.315011624,649.59
0.1104,1.374840151,649.68
0.1106,1.303692089,649.77
0.1108,1.234670672,649.86
0.111,1.291572853,649.95
0.1112,1.25712738,650.04
0.1114,1.291032341,650.13
0.1116,1.24123915,650.22
0.1118,1.233446233,650.31
0.112,1.23398948,650.4
0.1122,1.221546992,650.49
0.1124,1.165436579,650.58
0.1126,1.203061264,650.67
0.1128,1.220199338,650.76
0.113,1.259367837,650.85
0.1132,1.189848197,650.94
0.1134,1.176588973,651.03
0.1136,1.204209763,651.12
0.1138,1.191842062,651.21
0.114,1.223206891,651.3
0.1142,1.171318474,651.39
0.1144,1.135570368,651.48
0.1146,1.178080136,651.57
0.1148,1.173707012,651.66
0.115,1.081293373,651.75
0.1152,1.09423264,651.84
0.1154,1.008115332,651.93
0.1156,1.048062603,652.02
0.1158,1.014434499,652.11
0.116,1.028265713,652.2
0.1162,1.004511324,652.29
0.1164,1.004003455,652.38
0.1166,0.9933297967,652.47
0.1168,1.003948662,652.56
0.117,0.9801750032,652.65
0.1172,0.9351769902,652.74
0.1174,0.8927935699,652.83
0.1176,0.9804790072,652.92
0.1178,0.9745300998,653.01
0.118,0.8864553916,653.1
0.1182,0.9139405558,653.19
0.1184,0.8173592316,653.28
0.1186,0.8029155275,653.37
0.1188,0.8417028345,653.46
0.119,0.8985646278,653.55
0.1192,0.7851506762,653.64
0.1194,0.7810900513,653.73
0.1196,0.8663381821,653.82
0.1198,0.7140225803,653.91
0.12,0.8034913559,654
0.1202,0.7852014522,654.09
0.1204,0.7456570107,654.18
0.1206,0.7498518155,654.27
0.1208,0.8357624491,654.36
0.121,0.6745984233,654.45
0.1212,0.6960931683,654.54
0.1214,0.688309019,654.63
0.1216,0.6596391861,654.72
0.1218,0.6231570673,654.81
0.122,0.7303874517,654.9
0.1222,0.6655024813,654.99
0.1224,0.5766449317,655.08
0.1226,0.6093430639,655.17
0.1228,0.6443879896,655.26
0.123,0.635252505,655.35
0.1232,0.552673732,655.44
0.1234,0.5980280853,655.53
0.1236,0.603745333,655.62
0.1238,0.6008632317,655.71
0.124,0.5930183622,655.8
0.1242,0.49660941,655.89
0.1244,0.6359238533,655.98
0.1246,0.563220331,656.07
0.1248,0.6199573816,656.16
0.125,0.6553929628,656.25
0.1252,0.5278019494,656.34
0.1254,0.478428231,656.43
0.1256,0.5560925447,656.52
0.1258,0.5082311198,656.61
0.126,0.4915278735,656.7
0.1262,0.4625490519,656.79
0.1264,0.5658580239,656.88
0.1266,0.4752688409,656.97
0.1268,0.4317775203,657.06
0.127,0.4647916681,657.15
0.1272,0.431478663,657.24
0.1274,0.4792926933,657.33
0.1276,0.4515344013,657.42
0.1278,0.4214611657,657.51
0.128,0.4833862033,657.6
0.1282,0.4292353304,657.69
0.1284,0.4796712841,657.78
0.1286,0.4969905467,657.87
0.1288,0.4279768143,657.96
0.129,0.4125624755,658.05
0.1292,0.4424184415,658.14
0.1294,0.4661745471,658.23
0.1296,0.4265122201,658.32
0.1298,0.4283579748,658.41
0.13,0.4178393767,658.5
0.1302,0.4275294361,658.59
0.1304,0.4363981723,658.68
0.1306,0.3791665715,658.77
0.1308,0.3842528006,658.86
0.131,0.4014187315,658.95
0.1312,0.3691345404,659.04
0.1314,0.3972569712,659.13
0.1316,0.4092575508,659.22
0.1318,0.3828860822,659.31
0.132,0.3554925266,659.4
0.1322,0.3443548462,659.49
0.1324,0.4412221814,659.58
0.1326,0.4019586132,659.67
0.1328,0.3175751941,659.76
0.133,0.3241868722,659.85
0.1332,0.4281338922,659.94
0.1334,0.4088748129,660.03
0.1336,0.3486780903,660.12
0.1338,0.3848734827,660.21
0.134,0.2739644867,660.3
0.1342,0.3282518685,660.39
0.1344,0.3524549242,660.48
0.1346,0.2429109844,660.57
0.1348,0.2803377968,660.66
0.135,0.3371776009,660.75
0.1352,0.3451899646,660.84
0.1354,0.2701073055,660.93
0.1356,0.2991986293,661.02
0.1358,0.3452519401,661.11
0.136,0.2594129564,661.2
0.1362,0.2146717217,661.29
0.1364,0.2587150408,661.38
0.1366,0.2384594405,661.47
0.1368,0.2990920854,661.56
0.137,0.246170241,661.65
0.1372,0.2002497818,661.74
0.1374,0.3207775766,661.83
0.1376,0.1970297895,661.92
0.1378,0.228069951,662.01
0.138,0.2282208832,662.1
0.1382,0.2244090848,662.19
0.1384,0.1916860549,662.28
0.1386,0.1998421154,662.37
0.1388,0.1651415484,662.46
0.139,0.1024540644,662.55
0.1392,0.1416786701,662.64
0.1394,0.1336754903,662.73
0.1396,0.125540521,662.82
0.1398,0.1290324493,662.91
0.14,0.08944805463,663
0.1402,0.1581278793,663.09
0.1404,0.1585478958,663.18
0.1406,-0.001526647457,663.27
0.1408,0.07740284083,663.36
0.141,0.0390882992,663.45
0.1412,-0.04630811538,663.54
0.1414,0.0647310237,663.63
0.1416,0.013919166,663.72
0.1418,0.01395626487,663.81
0.142,-0.006786636257,663.9
0.1422,0.05303132929,663.99
0.1424,0.04938895728,664.08
0.1426,0.001153595662,664.17
0.1428,0.008077236622,664.26
0.143,-0.03385927566,664.35
0.1432,-0.0334494369,664.44
0.1434,-0.07839117314,664.53
0.1436,-0.05696764435,664.62
0.1438,-0.09648140479,664.71
0.144,-0.06254812119,664.8
0.1442,-0.05385280355,664.89
0.1444,-0.08391659418,664.98
0.1446,-0.0583339977,665.07
0.1448,-0.007352217569,665.16
0.145,-0.2084029472,665.25
0.1452,-0.1326810148,665.34
0.1454,-0.1649668993,665.43
0.1456,-0.1693764838,665.52
0.1458,-0.2142168503,665.61
0.146,-0.1664565893,665.7
0.1462,-0.1874390867,665.79
0.1464,-0.210846561,665.88
0.1466,-0.2040092239,665.97
0.1468,-0.2257156573,666.06
0.147,-0.3037576758,666.15
0.1472,-0.1748412767,666.24
0.1474,-0.2378323141,666.33
0.1476,-0.2712909582,666.42
0.1478,-0.2285150391,666.51
0.148,-0.2745872084,666.6
0.1482,-0.3422182902,666.69
0.1484,-0.2268004382,666.78
0.1486,-0.3362117227,666.87
0.1488,-0.2845947957,666.96
0.149,-0.2776158012,667.05
0.1492,-0.2348476968,667.14
0.1494,-0.2474940783,667.23
0.1496,-0.2945796239,667.32
0.1498,-0.3377108885,667.41
0.15,-0.3296315047,667.5
0.1502,-0.2751651367,667.59
0.1504,-0.2527528903,667.68
0.1506,-0.3078603276,667.77
0.1508,-0.3606736809,667.86
0.151,-0.2988441147,667.95
0.1512,-0.3600432054,668.04
0.1514,-0.3662424914,668.13
0.1516,-0.3658676623,668.22
0.1518,-0.3357743627,668.31
0.152,-0.3529376121,668.4
0.1522,-0.3287079191,668.49
0.1524,-0.3209452254,668.58
0.1526,-0.3565685652,668.67
0.1528,-0.4746099465,668.76
0.153,-0.4533353299,668.85
0.1532,-0.3832186097,668.94
0.1534,-0.3961877876,669.03
0.1536,-0.3112237974,669.12
0.1538,-0.4027555619,669.21
0.154,-0.4115785588,669.3
0.1542,-0.3716263867,669.39
0.1544,-0.3707018591,669.48
0.1546,-0.4265915189,669.57
0.1548,-0.4021508002,669.66
0.155,-0.4703417049,669.75
0.1552,-0.4666734602,669.84
0.1554,-0.3836080916,669.93
0.1556,-0.4932456699,670.02
0.1558,-0.404152113,670.11
0.156,-0.4180781438,670.2
0.1562,-0.4186267409,670.29
0.1564,-0.4172106478,670.38
0.1566,-0.4355694403,670.47
0.1568,-0.5482847801,670.56
0.157,-0.5074156912,670.65
0.1572,-0.496027746,670.74
0.1574,-0.4402468257,670.83
0.1576,-0.5269545432,670.92
0.1578,-0.5151876656,671.01
0.158,-0.5068090176,671.1
0.1582,-0.4451071236,671.19
0.1584,-0.5610453224,671.28
0.1586,-0.5633776506,671.37
0.1588,-0.490136883,671.46
0.159,-0.6064397419,671.55
0.1592,-0.5145337106,671.64
0.1594,-0.5525736657,671.73
0.1596,-0.604299983,671.82
0.1598,-0.5650586566,671.91
0.16,-0.595579976,672
0.1602,-0.5562550177,672.09
0.1604,-0.5561145705,672.18
0.1606,-0.5190426045,672.27
0.1608,-0.5872815903,672.36
0.161,-0.5911550639,672.45
0.1612,-0.6269164469,672.54
0.1614,-0.6136573507,672.63
0.1616,-0.5798576694,672.72
0.1618,-0.70824231,672.81
0.162,-0.6144621502,672.9
0.1622,-0.6720887423,672.99
0.1624,-0.657819576,673.08
0.1626,-0.6581038892,673.17
0.1628,-0.6476465881,673.26
0.163,-0.6829296523,673.35
0.1632,-0.7191883205,673.44
0.1634,-0.7022642979,673.53
0.1636,-0.7257180174,673.62
0.1638,-0.7460445755,673.71
0.164,-0.741534498,673.8
0.1642,-0.7268699795,673.89
0.1644,-0.7685418335,673.98
0.1646,-0.7802989077,674.07
0.1648,-0.8506322016,674.16
0.165,-0.8169881678,674.25
0.1652,-0.8991558441,674.34
0.1654,-0.8091026978,674.43
0.1656,-0.8886702737,674.52
0.1658,-0.8125987665,674.61
0.166,-0.7580946572,674.7
0.1662,-0.9072371773,674.79
0.1664,-0.8517422154,674.88
0.1666,-0.9024324879,674.97
0.1668,-0.9545529145,675.06
0.167,-0.9796554451,675.15
0.1672,-0.9372716476,675.24
0.1674,-0.917703207,675.33
0.1676,-0.9730783187,675.42
0.1678,-1.061399431,675.51
0.168,-1.056259793,675.6
0.1682,-1.03726526,675.69
0.1684,-0.9873491726,675.78
0.1686,-1.043682755,675.87
0.1688,-1.055187489,675.96
0.169,-1.032972236,676.05
0.1692,-1.102526951,676.14
0.1694,-1.110675134,676.23
0.1696,-1.126949198,676.32
0.1698,-1.203133651,676.41
0.17,-1.125445139,676.5
0.1702,-1.13951186,676.59
0.1704,-1.128476476,676.68
0.1706,-1.226294236,676.77
0.1708,-1.222291267,676.86
0.171,-1.16285081,676.95
0.1712,-1.197513777,677.04
0.1714,-1.165255317,677.13
0.1716,-1.264190949,677.22
0.1718,-1.230623968,677.31
0.172,-1.274235605,677.4
0.1722,-1.242878668,677.49
0.1724,-1.28225768,677.58
0.1726,-1.248499076,677.67
0.1728,-1.233240962,677.76
0.173,-1.255499752,677.85
0.1732,-1.360295657,677.94
0.1734,-1.255224046,678.03
0.1736,-1.27921788,678.12
0.1738,-1.342506766,678.21
0.174,-1.339253524,678.3
0.1742,-1.305882205,678.39
0.1744,-1.285004187,678.48
0.1746,-1.327028793,678.57
0.1748,-1.374266941,678.66
0.175,-1.297765798,678.75
0.1752,-1.30118298,678.84
